index to extract,derived Rh (nm),normalized intensity (0-1),normalized intensity (0-1) corrected,intensity weighted average Rh (nm),intensity weighted average over log(Rh (nm))
72.0,"[13.61, 17.51, 21.14, 27.19, 33.89, 38.43, 40.93, 44.98, 49.43, 54.32, 61.61, 69.87, 79.23, 92.73, 115.57, 144.04]","[0.99, 0.98, 1.01, 1.04, 1.23, 1.55, 1.74, 1.94, 1.86, 1.72, 1.5, 1.35, 1.19, 1.02, 1.01, 0.99]","[0.01041667 0.         0.03125    0.0625     0.26041667 0.59375
 0.79166667 1.         0.91666667 0.77083333 0.54166667 0.38541667
 0.21875    0.04166667 0.03125    0.01041667]",50.3504044117647,48.768961467547165
73.0,"[14.49, 19.24, 24.74, 28.96, 36.09, 43.59, 49.43, 54.32, 57.85, 67.7, 87.07, 115.57]","[1.99, 1.99, 2.23, 2.45, 2.72, 2.94, 2.84, 2.57, 2.33, 2.11, 2.01, 1.99]","[0.         0.         0.25263158 0.48421053 0.76842105 1.
 0.89473684 0.61052632 0.35789474 0.12631579 0.02105263 0.        ]",44.30557109557109,42.93988236320626
74.0,"[14.49, 20.49, 28.96, 37.24, 40.93, 44.98, 49.43, 56.06, 63.57, 74.4, 95.69, 127.01]","[2.99, 2.99, 3.14, 3.52, 3.77, 3.97, 3.74, 3.45, 3.19, 3.02, 3.01, 2.99]","[0.         0.         0.15306122 0.54081633 0.79591837 1.
 0.76530612 0.46938776 0.20408163 0.03061224 0.02040816 0.        ]",46.10433333333332,45.34714691750663
75.0,"[24.82, 29.76, 34.63, 37.93, 42.81, 44.13, 46.89, 51.35, 57.96, 61.58, 65.43, 69.52, 71.66, 83.38, 106.25]","[1.01, 1.01, 1.01, 1.13, 1.39, 1.63, 1.77, 1.85, 1.7, 1.46, 1.24, 1.13, 1.0, 0.99, 0.99]","[0.02325581 0.02325581 0.02325581 0.1627907  0.46511628 0.74418605
 0.90697674 1.         0.8255814  0.54651163 0.29069767 0.1627907
 0.01162791 0.         0.        ]",51.59145739910313,50.906816237988025
76.0,"[5.175, 10.449, 17.293, 20.842, 25.224, 26.992, 30.872, 36.169, 53.171, 64.739, 75.299, 115.507, 172.281, 350.841, 699.154, 1050.14, 1565.973, 3293.252, 6540.928, 12788.034, 24879.591, 45238.64, 96992.428, 174714.298]","[-0.024, -0.018, 0.0, 0.051, 0.098, 0.244, 0.585, 0.915, 0.683, 0.39, 0.024, 0.0, -0.024, -0.02, -0.004, 0.012, 0.16, 0.128, -0.015, -0.018, -0.025, -0.017, -0.022, 0.003]","[0.00106383 0.00744681 0.02659574 0.08085106 0.13085106 0.28617021
 0.64893617 1.         0.75319149 0.44148936 0.05212766 0.02659574
 0.00106383 0.00531915 0.02234043 0.0393617  0.19680851 0.16276596
 0.0106383  0.00744681 0.         0.00851064 0.00319149 0.02978723]",1803.892774150027,67.04352607516373
77.0,"[9.9, 11.77, 14.41, 16.74, 19.44, 21.27, 24.0, 28.76, 33.34, 37.31, 46.77, 60.07, 69.08, 84.32, 97.26, 129.89, 163.71]","[0.01, -0.01, 0.01, 0.18, 0.35, 0.46, 0.63, 0.88, 0.99, 0.88, 0.7, 0.35, 0.18, 0.07, 0.01, 0.01, 0.01]","[0.02 0.   0.02 0.19 0.36 0.47 0.64 0.89 1.   0.89 0.71 0.36 0.19 0.08
 0.02 0.02 0.02]",35.83066326530612,32.92414037386986
78.0,"[14.01, 17.65, 20.99, 28.04, 34.5, 41.56, 48.49, 52.69, 57.01, 61.81, 68.92, 79.47, 103.1, 145.83]","[1.02, 1.01, 1.01, 1.01, 1.18, 1.62, 1.95, 1.82, 1.54, 1.34, 1.1, 1.02, 1.02, 1.01]","[0.0106383  0.         0.         0.         0.18085106 0.64893617
 1.         0.86170213 0.56382979 0.35106383 0.09574468 0.0106383
 0.0106383  0.        ]",50.78555555555554,50.07559680706062
79.0,"[15.73, 20.99, 28.86, 33.47, 37.78, 42.8, 49.89, 54.24, 58.84, 63.74, 69.08, 81.91, 103.1, 159.19]","[2.04, 2.01, 2.01, 2.13, 2.32, 2.63, 2.93, 2.82, 2.63, 2.4, 2.18, 2.07, 2.02, 2.04]","[0.0326087  0.         0.         0.13043478 0.33695652 0.67391304
 1.         0.88043478 0.67391304 0.42391304 0.18478261 0.06521739
 0.01086957 0.0326087 ]",52.90308068459658,51.48795795105187
80.0,"[16.67, 28.06, 36.56, 41.38, 45.5, 51.4, 64.64, 74.43, 85.47, 106.42, 133.89, 173.62, 212.59]","[3.04, 3.04, 3.18, 3.46, 3.74, 3.96, 3.88, 3.76, 3.54, 3.12, 3.06, 3.04, 3.04]","[0.         0.         0.15217391 0.45652174 0.76086957 1.
 0.91304348 0.7826087  0.54347826 0.08695652 0.02173913 0.
 0.        ]",60.70267281105991,58.56813017427302
81.0,"[34.63, 40.3, 44.13, 46.89, 51.35, 57.96, 48.33, 59.75, 63.48, 67.44, 73.86, 83.38, 91.31]","[0.01, -0.01, 0.33, 0.59, 0.88, 0.76, 0.7, 0.59, 0.34, 0.14, 0.01, 0.0, 0.0]","[0.02247191 0.         0.38202247 0.6741573  1.         0.86516854
 0.79775281 0.6741573  0.39325843 0.16853933 0.02247191 0.01123596
 0.01123596]",53.66530201342281,53.22337534740352
